# FormFair Held-Out Evaluation Protocol v1.0, section 1
# source_url=https://www.digital.govt.nz/standards-and-guidance/nz-government-web-standards/centralised-web-accessibility-checker-cwac/website-scores-cwac
# retrieved_utc=2026-08-11T05:18:19Z
# scan_date=2026-06-30
# page_sha256=ac6a0c4eb5c6087c0766218808c7714974fd68220d0b02ddaaf9dbb212f2a933
# agencies=45
# websites=504
agency,website,url,score,change,pages_scanned,views_with_issues,total_issues,not_scanned
"Ministry of Business, Innovation and Employment",Industrial & Provident Societies Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/industrial-and-provident-societies/,0,-23,13,0,0,false
"Ministry of Business, Innovation and Employment",Insolvency and Trustee Service,https://www.insolvency.govt.nz/,0,-100,128,0,0,false
"Ministry of Business, Innovation and Employment",Managed Isolation and Quarantine (MIQ),https://portal.miq.govt.nz/,0,0,1,0,0,false
"Ministry of Business, Innovation and Employment",Niue Companies Office,https://www.companies.gov.nu/,0,0,13,0,0,false
"Ministry of Business, Innovation and Employment",NZ Claims Resolution Service,https://www.nzcrs.govt.nz/,0,-100,95,0,0,false
"Ministry of Business, Innovation and Employment",Online Immigration,https://online.immigration.govt.nz/,0,0,300,0,0,false
"Ministry of Business, Innovation and Employment",Overseas Issuers Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/overseas-issuers/,0,0,6,0,0,false
"Ministry of Business, Innovation and Employment",Participatory Securities Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/participatory-securities/,0,-50,1,0,0,false
"Ministry of Business, Innovation and Employment",Pītau - Investment Management System,https://pitau.mbie.govt.nz/,0,0,2,0,0,false
"Ministry of Business, Innovation and Employment",Register of Approved Overseas Auditors & Associations of Accountants - Companies Office,https://www.companiesoffice.govt.nz/all-registers/approved-overseas-auditors-and-associations-of-accountants/,0,-50,2,0,0,false
"Ministry of Business, Innovation and Employment",Research Development Tax Incentive,https://www.rdti.govt.nz/,0,-13,49,0,0,false
"Ministry of Business, Innovation and Employment",Standards NZ Consultation Hub,https://consultations.standards.govt.nz/,0,0,63,0,0,false
"Ministry of Business, Innovation and Employment",Superannuation Schemes Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/superannuation-schemes/,0,0,1,0,0,false
"Ministry of Business, Innovation and Employment",Tenancy Services,https://mybond.tenancy.govt.nz/,0,0,2,0,0,false
"Ministry of Business, Innovation and Employment",Trading Standards,https://www.tradingstandards.govt.nz/,0,-50,9,0,0,false
"Ministry of Business, Innovation and Employment",Unit Trusts Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/unit-trusts/,0,0,1,0,0,false
"Ministry of Business, Innovation and Employment",Jobs at MBIE,https://jobs.mbie.govt.nz/,2,-7,300,7,75,false
"Ministry of Business, Innovation and Employment",NZ Business Number,https://www.nzbn.govt.nz/,2,-49,46,1,2,false
"Ministry of Business, Innovation and Employment",Remuneration Authority,https://www.remauthority.govt.nz/,2,0,43,2,3,false
"Ministry of Business, Innovation and Employment",Tenancy Services,https://www.tenancy.govt.nz/,2,-75,300,7,16,false
"Ministry of Business, Innovation and Employment",Licensed Building Practitioners,https://www.lbp.govt.nz/,3,-4,300,14,27,false
"Ministry of Business, Innovation and Employment",Retirement Villages Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/retirement-villages/,3,-40,38,1,2,false
"Ministry of Business, Innovation and Employment",Electrical Workers Registration Board (EWRB),https://www.ewrb.govt.nz/,4,-2,300,17,37,false
"Ministry of Business, Innovation and Employment",Employment NZ,https://www.employment.govt.nz/,4,-3,300,13,51,false
"Ministry of Business, Innovation and Employment",Motor Vehicle Traders Register,https://www.motortraders.govt.nz/,4,-33,96,6,22,false
"Ministry of Business, Innovation and Employment",Credit Unions Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/credit-unions/,7,-40,15,1,2,false
"Ministry of Business, Innovation and Employment",NZ Traveller Declaration,https://www.travellerdeclaration.govt.nz/,7,0,23,2,3,false
"Ministry of Business, Innovation and Employment",Trade Measurement,https://trademeasurement.tradingstandards.govt.nz/,8,-84,164,18,43,false
"Ministry of Business, Innovation and Employment",Unit Title Services,https://www.unittitles.govt.nz/,8,-87,111,9,18,false
"Ministry of Business, Innovation and Employment",Radio Spectrum Management NZ,https://www.rsm.govt.nz/,9,4,300,29,91,false
"Ministry of Business, Innovation and Employment",Immigration NZ,https://www.immigration.govt.nz/,10,4,300,29,127,false
"Ministry of Business, Innovation and Employment",Disclose Register,https://disclose-register.companiesoffice.govt.nz/,11,1,54,6,12,false
"Ministry of Business, Innovation and Employment",Te Pae,https://tepae.building.govt.nz/,13,13,4,1,10,false
"Ministry of Business, Innovation and Employment",Temporary Accommodation Service,https://www.tas.mbie.govt.nz/,13,-1,16,2,4,false
"Ministry of Business, Innovation and Employment",Personal Property Securities Register,https://ppsr.companiesoffice.govt.nz/,18,0,66,12,44,false
"Ministry of Business, Innovation and Employment",NZ Petroleum and Minerals,https://www.nzpam.govt.nz/,21,-10,299,63,207,false
"Ministry of Business, Innovation and Employment",Companies Register,https://companies-register.companiesoffice.govt.nz/,23,6,13,3,8,false
"Ministry of Business, Innovation and Employment",Limited Partnerships Registers,https://lp-register.companiesoffice.govt.nz/,23,23,13,3,16,false
"Ministry of Business, Innovation and Employment",Business.govt.nz,https://www.business.govt.nz/,24,-7,294,74,284,false
"Ministry of Business, Innovation and Employment",Financial Service Providers Register,https://fsp-register.companiesoffice.govt.nz/,24,-1,79,19,42,false
"Ministry of Business, Innovation and Employment",Do business online - Business.govt.nz,https://www.tools.business.govt.nz/do-business-online/,25,0,2,1,1,false
"Ministry of Business, Innovation and Employment",Funding Explorer - Business.govt.nz,https://www.tools.business.govt.nz/funding-explorer/,25,0,2,1,1,false
"Ministry of Business, Innovation and Employment","Ministry of Business, Innovation & Employment",https://www.mbie.govt.nz/,27,-2,300,107,312,false
"Ministry of Business, Innovation and Employment",Standards NZ,https://www.standards.govt.nz/,30,-3,300,103,277,false
"Ministry of Business, Innovation and Employment",Charitable Trusts Register,https://ct-register.companiesoffice.govt.nz/,31,-1,13,4,18,false
"Ministry of Business, Innovation and Employment",eInvoicing,https://www.einvoicing.govt.nz/,35,-38,122,62,152,false
"Ministry of Business, Innovation and Employment",NZ Immigration Advisers Authority (IAA),https://www.iaa.govt.nz/,36,-19,300,109,309,false
"Ministry of Business, Innovation and Employment",Tourism Evidence and Insights Centre,https://teic.mbie.govt.nz/,39,3,121,47,1420,false
"Ministry of Business, Innovation and Employment",NZ Companies Office,https://www.companiesoffice.govt.nz/,40,-5,89,36,74,false
"Ministry of Business, Innovation and Employment",Intellectual Property Office of New Zealand,https://www.iponz.govt.nz/,42,-24,300,143,1609,false
"Ministry of Business, Innovation and Employment",Building CodeHub,https://codehub.building.govt.nz/,45,-6,300,148,762,false
"Ministry of Business, Innovation and Employment",Debt Repayment Register,https://app.insolvency.govt.nz/ui/public/search/dro-register,50,0,1,1,1,false
"Ministry of Business, Innovation and Employment",Licensed Building Practitioners Kete,https://kete-lbp.mbie.govt.nz/,50,0,2,2,2,false
"Ministry of Business, Innovation and Employment",Government Property Office,https://www.gpo.govt.nz/,52,52,50,50,67,false
"Ministry of Business, Innovation and Employment",FormBuilder,https://www.formbuilder.govt.nz/,55,55,86,74,211,false
"Ministry of Business, Innovation and Employment",Major Events,https://www.majorevents.govt.nz/,56,-36,72,68,214,false
"Ministry of Business, Innovation and Employment",NZ Petroleum & Minerals Online permitting system,https://aca-auprod.accela.com/NZPAM/Welcome.aspx,60,0,5,3,23,false
"Ministry of Business, Innovation and Employment",Consumer Protection,https://www.consumerprotection.govt.nz/,63,17,300,200,983,false
"Ministry of Business, Innovation and Employment",IRC Toolkit,https://irctoolkit.mbie.govt.nz/,63,-30,27,23,60,false
"Ministry of Business, Innovation and Employment",NZ Government Procurement,https://www.procurement.govt.nz/,71,2,300,298,985,false
